Date,1 Mo,2 Mo,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1/2/2014,0.01,N/A,0.07,0.09,0.13,0.39,0.76,1.72,2.41,3,3.68,3.92
1/3/2014,0.02,N/A,0.07,0.1,0.13,0.41,0.8,1.73,2.42,3.01,3.69,3.93
1/6/2014,0.01,N/A,0.05,0.08,0.12,0.4,0.78,1.7,2.38,2.98,3.66,3.9
1/7/2014,0.01,N/A,0.04,0.08,0.13,0.4,0.8,1.69,2.37,2.96,3.64,3.88
1/8/2014,0,N/A,0.05,0.08,0.13,0.43,0.87,1.77,2.44,3.01,3.67,3.9
1/9/2014,0.01,N/A,0.04,0.06,0.13,0.44,0.86,1.75,2.41,2.97,3.62,3.88
1/10/2014,0.01,N/A,0.05,0.06,0.12,0.39,0.77,1.64,2.29,2.88,3.54,3.8
1/13/2014,0,N/A,0.03,0.06,0.11,0.39,0.74,1.6,2.25,2.84,3.52,3.77
1/14/2014,0,N/A,0.04,0.06,0.11,0.39,0.78,1.65,2.3,2.88,3.54,3.8
1/15/2014,0.01,N/A,0.04,0.06,0.13,0.41,0.81,1.68,2.33,2.9,3.55,3.81
1/16/2014,0.01,N/A,0.04,0.07,0.11,0.41,0.8,1.66,2.3,2.86,3.52,3.77
1/17/2014,0.01,N/A,0.05,0.07,0.11,0.4,0.79,1.64,2.27,2.84,3.5,3.75
1/21/2014,0.01,N/A,0.04,0.07,0.12,0.4,0.81,1.67,2.29,2.85,3.5,3.74
1/22/2014,0,N/A,0.04,0.07,0.11,0.44,0.85,1.72,2.34,2.87,3.52,3.75
1/23/2014,0.01,N/A,0.04,0.05,0.11,0.39,0.77,1.62,2.24,2.79,3.44,3.68
1/24/2014,0.04,N/A,0.04,0.06,0.11,0.37,0.75,1.58,2.2,2.75,3.4,3.64
1/27/2014,0.04,N/A,0.05,0.07,0.11,0.37,0.76,1.61,2.24,2.78,3.43,3.67
1/28/2014,0.05,N/A,0.05,0.07,0.11,0.38,0.75,1.59,2.22,2.77,3.43,3.68
1/29/2014,0.04,N/A,0.04,0.07,0.11,0.36,0.71,1.52,2.15,2.69,3.36,3.62
1/30/2014,0.04,N/A,0.02,0.06,0.1,0.36,0.72,1.55,2.19,2.72,3.4,3.65
1/31/2014,0.03,N/A,0.02,0.06,0.1,0.34,0.69,1.49,2.13,2.67,3.35,3.61
2/3/2014,0.04,N/A,0.05,0.07,0.11,0.3,0.64,1.44,2.07,2.61,3.29,3.55
2/4/2014,0.12,N/A,0.06,0.07,0.12,0.31,0.65,1.46,2.09,2.64,3.33,3.59
2/5/2014,0.13,N/A,0.07,0.07,0.12,0.32,0.66,1.5,2.14,2.7,3.4,3.66
2/6/2014,0.07,N/A,0.07,0.08,0.13,0.33,0.69,1.52,2.17,2.73,3.42,3.67
